"address_id";"address";"address2";"district";"city_id";"postal_code";"last_update"
1;"47 MySakila Drive";"";"Alberta";300;"";"2006-02-15 09:45:30"
2;"28 MySQL Boulevard";"";"QLD";576;"";"2006-02-15 09:45:30"
3;"23 Workhaven Lane";"";"Alberta";300;"";"2006-02-15 09:45:30"
4;"1411 Lillydale Drive";"";"QLD";576;"";"2006-02-15 09:45:30"
5;"1913 Hanoi Way";"";"Nagasaki";463;"35200";"2006-02-15 09:45:30"
6;"1121 Loja Avenue";"";"California";449;"17886";"2006-02-15 09:45:30"
7;"692 Joliet Street";"";"Attika";38;"83579";"2006-02-15 09:45:30"
8;"1566 Inegl Manor";"";"Mandalay";349;"53561";"2006-02-15 09:45:30"
9;"53 Idfu Parkway";"";"Nantou";361;"42399";"2006-02-15 09:45:30"
10;"1795 Santiago de Compostela Way";"";"Texas";295;"18743";"2006-02-15 09:45:30"
11;"900 Santiago de Compostela Parkway";"";"Central Serbia";280;"93896";"2006-02-15 09:45:30"
12;"478 Joliet Way";"";"Hamilton";200;"77948";"2006-02-15 09:45:30"
13;"613 Korolev Drive";"";"Masqat";329;"45844";"2006-02-15 09:45:30"
14;"1531 Sal Drive";"";"Esfahan";162;"53628";"2006-02-15 09:45:30"
15;"1542 Tarlac Parkway";"";"Kanagawa";440;"1027";"2006-02-15 09:45:30"
16;"808 Bhopal Manor";"";"Haryana";582;"10672";"2006-02-15 09:45:30"
17;"270 Amroha Parkway";"";"Osmaniye";384;"29610";"2006-02-15 09:45:30"
18;"770 Bydgoszcz Avenue";"";"California";120;"16266";"2006-02-15 09:45:30"
19;"419 Iligan Lane";"";"Madhya Pradesh";76;"72878";"2006-02-15 09:45:30"
20;"360 Toulouse Parkway";"";"England";495;"54308";"2006-02-15 09:45:30"
21;"270 Toulon Boulevard";"";"Kalmykia";156;"81766";"2006-02-15 09:45:30"
22;"320 Brest Avenue";"";"Kaduna";252;"43331";"2006-02-15 09:45:30"
23;"1417 Lancaster Avenue";"";"Northern Cape";267;"72192";"2006-02-15 09:45:30"
24;"1688 Okara Way";"";"Nothwest Border Prov";327;"21954";"2006-02-15 09:45:30"
25;"262 A Corua (La Corua) Parkway";"";"Dhaka";525;"34418";"2006-02-15 09:45:30"
26;"28 Charlotte Amalie Street";"";"Rabat-Sal-Zammour-Z";443;"37551";"2006-02-15 09:45:30"
27;"1780 Hino Boulevard";"";"Liepaja";303;"7716";"2006-02-15 09:45:30"
28;"96 Tafuna Way";"";"Crdoba";128;"99865";"2006-02-15 09:45:30"
29;"934 San Felipe de Puerto Plata Street";"";"Sind";472;"99780";"2006-02-15 09:45:30"
30;"18 Duisburg Boulevard";"";"";121;"58327";"2006-02-15 09:45:30"
